Time Power  
1968 0      
1969 0      
1970 0      
1971 0      
1972 0      
1973 0      
1974 0      
1975 0      
1976 0      
1977 0      
1978 0      
1979 0      
1980 0      
1981 360    
1982 3240   
1983 3600   
1984 4320   
1985 4320   
1986 5040   
1987 5760   
1988 6480   
1989 6840   
1990 7200   
1991 7560   
1992 7920   
1993 7920   
1994 10440  
1995 11160  
1996 11520  
1997 11520  
1998 11520  
1999 12240  
2000 12960  
2001 14040  
2002 14040  
2003 14400  
2004 14760  
2005 15120  
2006 17280  
2007 18000  
2008 18360  
2009 17640  
2010 18720  
2011 19080  
2012 19800  
2013 20520  
2014 20160  
2015 20880  
2016 21600  
2017 21600  
2018 24840  
2019 25560  
2020 25920  
2021 25920  
2022 24120  
2023 26280  
2024 26640  
2025 27360  
2026 26280  
2027 27720  
2028 28080  
2029 28800  
2030 32040  
2031 32400  
2032 32760  
2033 32760  
2034 31320  
2035 30960  
2036 33120  
2037 33480  
2038 33120  
2039 33840  
2040 34560  
2041 34920  
2042 38520  
2043 38880  
2044 39240  
2045 38520  
2046 38160  
2047 37440  
2048 37440  
2049 39960  
2050 36720  
2051 39960  
2052 40320  
2053 41400  
2054 44640  
2055 45360  
2056 45360  
2057 45720  
2058 45720  
2059 43920  
2060 44280  
2061 45720  
2062 44280  
2063 44640  
2064 46440  
2065 47160  
2066 51480  
2067 51840  
2068 52560  
2069 49680  
2070 50400  
2071 50400  
2072 50040  
2073 51120  
2074 47160  
2075 49680  
2076 50760  
2077 54360  
2078 57960  
2079 58680  
2080 59400  
2081 59400  
2082 56160  
2083 56880  
2084 56160  
2085 59760  
2086 54720  
2087 54360  
2088 56520  
2089 60120  
2090 65520  
2091 66240  
2092 66960  
2093 66600  
2094 67320  
2095 64440  
2096 65160  
2097 65520  
2098 65520  
2099 63360  
2100 62280  
2101 67320  
2102 71640  
2103 73800  
2104 74520  
2105 74880  
2106 74520  
2107 74880  
2108 72000  
2109 72360  
2110 70200  
2111 73440  
2112 69840  
2113 73440  
2114 79560  
2115 81000  
2116 83160  
2117 81720  
2118 83520  
2119 82800  
2120 83520  
2121 78480  
2122 78120  
2123 78120  
2124 80640  
2125 81720  
