Time SenderId SenderProto   ReceiverId ReceiverProto     Commodity          Quantity               
495  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
508  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
521  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
534  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
547  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
555  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
560  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
568  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
573  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
581  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
586  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
591  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
594  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
599  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
604  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
607  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
612  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
615  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
617  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
620  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
625  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
628  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
630  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
633  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
638  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
639  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
641  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
643  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
646  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
651  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
652  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
654  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
656  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
659  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
663  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
664  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
665  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
667  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
669  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
672  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
676  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
677  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
678  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
680  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
682  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
685  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
687  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
689  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
690  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
691  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
693  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
695  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
698  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
700  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
702  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
703  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
704  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
706  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
708  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
711  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
713  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
715  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
716  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
717  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
719  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
721  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
723  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
724  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 29960                  
726  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
728  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
729  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 14980                  
